API,COUNTRY,EMISSIONS,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
INTL.4008-8-ABW-MMTCD.A,Aruba,CO2 emissions (MMtonnes CO2),--,--,--,--,--,--,0.1,0.1,0.4,0.6,0.6,0.6,0.7,0.7,0.8,0.9,0.6,0.9,0.9,0.9,1,1,1,1,1,1,1.1,1.024105112,1.1,1,1.1,0.991091715,1.259022487,1.19798201,1.213408516,1.221647,1.201636,1.251577,1.20493081,1.2544526,1.056415673,1.124362205
INTL.4002-8-ABW-MMTCD.A,Aruba,Coal and coke (MMtonnes CO2),--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.4010-8-ABW-MMTCD.A,Aruba,Consumed natural gas (MMtonnes CO2),--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.4006-8-ABW-MMTCD.A,Aruba,Petroleum and other liquids (MMtonnes CO2),--,--,--,--,--,--,0.1,0.1,0.4,0.6,0.6,0.6,0.7,0.7,0.8,0.9,0.6,0.9,0.9,0.9,1,1,1,1,1,1,1.1,1.024105112,1.1,1,1.1,0.991091715,1.259022487,1.19798201,1.213408516,1.221647,1.201636,1.251577,1.20493081,1.2544526,1.056415673,1.124362205
INTL.4008-8-AUS-MMTCD.A,Australia,CO2 emissions (MMtonnes CO2),221.3144658,223.0538519,230.1297145,219.6852274,227.9947823,240.5812724,241.4443824,259.3334548,262.5330884,280.5352537,267.5944695,266.2858728,272.5175341,276.8186378,281.4236102,289.4000199,305.2453906,313.3548687,329.104173,337.3205093,339.3999718,343.2268027,353.2742148,351.7295057,364.0751259,369.9340695,375.2966645,385.3010343,384.4317255,396.0111383,391.7287521,389.5528975,393.2349426,385.1462329,377.5211703,384.1917534,395.9718606,406.6423882,411.5301539,406.1131458,372.6471802,377.1527248
INTL.4002-8-AUS-MMTCD.A,Australia,Coal and coke (MMtonnes CO2),126.7167978,129.7231767,133.8631747,125.3794831,120.1325596,129.2810429,127.9172217,140.7459758,140.0202531,153.1302988,136.3772769,139.1607402,143.3992956,143.1753325,142.0587953,145.3837386,158.2500232,164.6115503,177.5067795,181.0058198,181.0105503,180.964985,183.6280686,177.5225027,185.5131704,188.7119351,192.0226588,192.5879371,188.6968077,195.7678803,185.6196607,177.3838048,173.9103037,161.3637072,152.7869608,157.9992394,163.9605938,162.85347,165.6993627,160.9678797,151.6277609,157.9614533
INTL.4010-8-AUS-MMTCD.A,Australia,Consumed natural gas (MMtonnes CO2),17.98971174,20.55967056,22.73854869,23.07376071,24.60555973,26.30936847,28.71872476,29.43987097,30.71264735,31.5427189,34.619475,32.37942253,33.53628556,34.90529339,36.49030812,39.15995044,39.30255746,39.57978767,41.47493955,42.93325603,45.07442609,47.52650043,52.24694632,53.77289761,55.83199415,56.33585916,56.28804056,62.53359832,63.70976051,66.93396632,67.78488757,68.89064181,71.40249285,73.61085252,75.23351733,76.261073,82.848989,86.61415608,85.95161613,87.75757268,86.105841,81.75700035
INTL.4006-8-AUS-MMTCD.A,Australia,Petroleum and other liquids (MMtonnes CO2),76.60795631,72.77100461,73.52799111,71.23198363,83.256663,84.990861,84.808436,89.147608,91.800188,95.862236,96.59771756,94.74571012,95.58195302,98.73801193,102.8745068,104.8563308,107.6928099,109.1635307,110.122454,113.3814335,113.3149954,114.7353173,117.3991998,120.4341054,122.7299613,124.8862752,126.9859651,130.1794989,132.0251572,133.3092917,138.3242038,143.2784509,147.9221461,150.1716732,149.5006922,149.931441,149.1622778,157.1747621,159.8791751,157.3876935,134.9135783,137.4342711
INTL.4008-8-AUT-MMTCD.A,Austria,CO2 emissions (MMtonnes CO2),55.26293027,51.59746664,48.86900785,48.58883106,52.16941424,52.9833491,50.19197655,51.22309225,49.57806577,50.35173659,55.51523828,59.73290631,54.03919952,54.58930939,54.75385796,58.49916301,63.14710833,62.22504093,62.56332959,62.03495158,60.99892469,65.58858786,65.91040506,71.55348757,72.6766561,76.76717589,73.93613498,70.96233754,70.44420042,64.05651925,69.59045855,66.2611232,64.11566841,64.4367596,61.13678546,63.18649444,63.75089351,66.33364458,63.76994963,65.36085877,57.71834428,60.67040605
INTL.4002-8-AUT-MMTCD.A,Austria,Coal and coke (MMtonnes CO2),12.96813482,13.39677865,12.02391619,12.87390345,15.55826216,15.58028715,12.09690646,12.48853501,12.18877383,12.30524089,14.00870538,15.09741011,10.72041469,9.284175138,9.677810965,11.78575804,12.39604942,12.67672161,10.58322575,11.61827859,12.64535796,14.03022609,13.39563111,15.22287805,15.70019846,15.94835881,14.86329614,14.04620942,13.47812869,9.742799465,12.30490687,12.09566921,11.70797857,12.00840105,11.20508524,11.96792671,11.23011368,11.86401392,10.3841655,10.50791373,9.328810358,9.51133441
