,COUNTRY,EMISSIONS,Year,Value
190,Costa Rica,Consumed natural gas (MMtonnes CO2),1980,0
191,Costa Rica,Petroleum and other liquids (MMtonnes CO2),1980,2.340974967
192,Cote d'Ivoire,CO2 emissions (MMtonnes CO2),1980,4.01485
193,Cote d'Ivoire,Coal and coke (MMtonnes CO2),1980,0
194,Cote d'Ivoire,Consumed natural gas (MMtonnes CO2),1980,0
195,Cote d'Ivoire,Petroleum and other liquids (MMtonnes CO2),1980,4.01485
196,Croatia,CO2 emissions (MMtonnes CO2),1980,--
197,Croatia,Coal and coke (MMtonnes CO2),1980,--
198,Croatia,Consumed natural gas (MMtonnes CO2),1980,--
199,Croatia,Petroleum and other liquids (MMtonnes CO2),1980,--
200,Cuba,CO2 emissions (MMtonnes CO2),1980,29.94460527
201,Cuba,Coal and coke (MMtonnes CO2),1980,0.421585072
202,Cuba,Consumed natural gas (MMtonnes CO2),1980,0.033330198
203,Cuba,Petroleum and other liquids (MMtonnes CO2),1980,29.48969
204,Cyprus,CO2 emissions (MMtonnes CO2),1980,2.82934
205,Cyprus,Coal and coke (MMtonnes CO2),1980,0
206,Cyprus,Consumed natural gas (MMtonnes CO2),1980,0
207,Cyprus,Petroleum and other liquids (MMtonnes CO2),1980,2.82934
208,Czechia,CO2 emissions (MMtonnes CO2),1980,--
209,Czechia,Coal and coke (MMtonnes CO2),1980,--
210,Czechia,Consumed natural gas (MMtonnes CO2),1980,--
211,Czechia,Petroleum and other liquids (MMtonnes CO2),1980,--
212,Denmark,CO2 emissions (MMtonnes CO2),1980,62.30811156
213,Denmark,Coal and coke (MMtonnes CO2),1980,22.00109095
214,Denmark,Consumed natural gas (MMtonnes CO2),1980,0
215,Denmark,Petroleum and other liquids (MMtonnes CO2),1980,40.30702062
216,Djibouti,CO2 emissions (MMtonnes CO2),1980,1.45833
217,Djibouti,Coal and coke (MMtonnes CO2),1980,0
218,Djibouti,Consumed natural gas (MMtonnes CO2),1980,0
219,Djibouti,Petroleum and other liquids (MMtonnes CO2),1980,1.45833
220,Dominica,CO2 emissions (MMtonnes CO2),1980,0.02679
221,Dominica,Coal and coke (MMtonnes CO2),1980,0
222,Dominica,Consumed natural gas (MMtonnes CO2),1980,0
223,Dominica,Petroleum and other liquids (MMtonnes CO2),1980,0.02679
224,Dominican Republic,CO2 emissions (MMtonnes CO2),1980,5.43528
225,Dominican Republic,Coal and coke (MMtonnes CO2),1980,0
226,Dominican Republic,Consumed natural gas (MMtonnes CO2),1980,0
227,Dominican Republic,Petroleum and other liquids (MMtonnes CO2),1980,5.43528
228,Ecuador,CO2 emissions (MMtonnes CO2),1980,12.016231
229,Ecuador,Coal and coke (MMtonnes CO2),1980,0
230,Ecuador,Consumed natural gas (MMtonnes CO2),1980,0.206921
231,Ecuador,Petroleum and other liquids (MMtonnes CO2),1980,11.80931
232,Egypt,CO2 emissions (MMtonnes CO2),1980,40.92829448
233,Egypt,Coal and coke (MMtonnes CO2),1980,2.048164584
234,Egypt,Consumed natural gas (MMtonnes CO2),1980,1.6665099
235,Egypt,Petroleum and other liquids (MMtonnes CO2),1980,37.21362
236,El Salvador,CO2 emissions (MMtonnes CO2),1980,1.98901
237,El Salvador,Coal and coke (MMtonnes CO2),1980,0
238,El Salvador,Consumed natural gas (MMtonnes CO2),1980,0
239,El Salvador,Petroleum and other liquids (MMtonnes CO2),1980,1.98901
240,Equatorial Guinea,CO2 emissions (MMtonnes CO2),1980,0.05549
241,Equatorial Guinea,Coal and coke (MMtonnes CO2),1980,0
242,Equatorial Guinea,Consumed natural gas (MMtonnes CO2),1980,0
243,Equatorial Guinea,Petroleum and other liquids (MMtonnes CO2),1980,0.05549
244,Eritrea,CO2 emissions (MMtonnes CO2),1980,--
245,Eritrea,Coal and coke (MMtonnes CO2),1980,--
246,Eritrea,Consumed natural gas (MMtonnes CO2),1980,--
247,Eritrea,Petroleum and other liquids (MMtonnes CO2),1980,--
248,Estonia,CO2 emissions (MMtonnes CO2),1980,--
249,Estonia,Coal and coke (MMtonnes CO2),1980,--
250,Estonia,Consumed natural gas (MMtonnes CO2),1980,--
251,Estonia,Petroleum and other liquids (MMtonnes CO2),1980,--
252,Eswatini,CO2 emissions (MMtonnes CO2),1980,0.678441294
253,Eswatini,Coal and coke (MMtonnes CO2),1980,0.386591294
254,Eswatini,Consumed natural gas (MMtonnes CO2),1980,0
255,Eswatini,Petroleum and other liquids (MMtonnes CO2),1980,0.29185
256,Ethiopia,CO2 emissions (MMtonnes CO2),1980,1.70001
257,Ethiopia,Coal and coke (MMtonnes CO2),1980,0
258,Ethiopia,Consumed natural gas (MMtonnes CO2),1980,0
259,Ethiopia,Petroleum and other liquids (MMtonnes CO2),1980,1.70001
260,Falkland Islands,CO2 emissions (MMtonnes CO2),1980,0.01168
261,Falkland Islands,Coal and coke (MMtonnes CO2),1980,0
262,Falkland Islands,Consumed natural gas (MMtonnes CO2),1980,0
263,Falkland Islands,Petroleum and other liquids (MMtonnes CO2),1980,0.01168
264,Faroe Islands,CO2 emissions (MMtonnes CO2),1980,0
265,Faroe Islands,Coal and coke (MMtonnes CO2),1980,0
266,Faroe Islands,Consumed natural gas (MMtonnes CO2),1980,0
267,Faroe Islands,Petroleum and other liquids (MMtonnes CO2),1980,
268,Fiji,CO2 emissions (MMtonnes CO2),1980,1.299351548
269,Fiji,Coal and coke (MMtonnes CO2),1980,0.037631548
270,Fiji,Consumed natural gas (MMtonnes CO2),1980,0
271,Fiji,Petroleum and other liquids (MMtonnes CO2),1980,1.26172
272,Finland,CO2 emissions (MMtonnes CO2),1980,55.74153674
273,Finland,Coal and coke (MMtonnes CO2),1980,17.49307247
274,Finland,Consumed natural gas (MMtonnes CO2),1980,1.724978347
275,Finland,Petroleum and other liquids (MMtonnes CO2),1980,36.52348592
276,Former Czechoslovakia,CO2 emissions (MMtonnes CO2),1980,253.1912573
277,Former Czechoslovakia,Coal and coke (MMtonnes CO2),1980,181.2807605
278,Former Czechoslovakia,Consumed natural gas (MMtonnes CO2),1980,17.77796258
279,Former Czechoslovakia,Petroleum and other liquids (MMtonnes CO2),1980,54.13253422
280,Former Serbia and Montenegro,CO2 emissions (MMtonnes CO2),1980,--
281,Former Serbia and Montenegro,Coal and coke (MMtonnes CO2),1980,--
282,Former Serbia and Montenegro,Consumed natural gas (MMtonnes CO2),1980,--
283,Former Serbia and Montenegro,Petroleum and other liquids (MMtonnes CO2),1980,--
284,Former U.S.S.R.,CO2 emissions (MMtonnes CO2),1980,3515.884206
285,Former U.S.S.R.,Coal and coke (MMtonnes CO2),1980,1505.098803
286,Former U.S.S.R.,Consumed natural gas (MMtonnes CO2),1980,735.4248235
287,Former U.S.S.R.,Petroleum and other liquids (MMtonnes CO2),1980,1275.36058
288,Former Yugoslavia,CO2 emissions (MMtonnes CO2),1980,142.6959606
289,Former Yugoslavia,Coal and coke (MMtonnes CO2),1980,91.72366398
290,Former Yugoslavia,Consumed natural gas (MMtonnes CO2),1980,7.56025666
291,Former Yugoslavia,Petroleum and other liquids (MMtonnes CO2),1980,43.41204
292,France,CO2 emissions (MMtonnes CO2),1980,472.3705918
293,France,Coal and coke (MMtonnes CO2),1980,138.9054988
294,France,Consumed natural gas (MMtonnes CO2),1980,49.34206332
295,France,Petroleum and other liquids (MMtonnes CO2),1980,284.1230297
296,French Guiana,CO2 emissions (MMtonnes CO2),1980,0.34991
297,French Guiana,Coal and coke (MMtonnes CO2),1980,0
298,French Guiana,Consumed natural gas (MMtonnes CO2),1980,0
299,French Guiana,Petroleum and other liquids (MMtonnes CO2),1980,0.34991
300,French Polynesia,CO2 emissions (MMtonnes CO2),1980,0.2109
301,French Polynesia,Coal and coke (MMtonnes CO2),1980,0
302,French Polynesia,Consumed natural gas (MMtonnes CO2),1980,0
303,French Polynesia,Petroleum and other liquids (MMtonnes CO2),1980,0.2109
304,Gabon,CO2 emissions (MMtonnes CO2),1980,1.690205825
305,Gabon,Coal and coke (MMtonnes CO2),1980,0
306,Gabon,Consumed natural gas (MMtonnes CO2),1980,0.138875825
307,Gabon,Petroleum and other liquids (MMtonnes CO2),1980,1.55133
308,"Gambia, The",CO2 emissions (MMtonnes CO2),1980,0.1523
309,"Gambia, The",Coal and coke (MMtonnes CO2),1980,0
310,"Gambia, The",Consumed natural gas (MMtonnes CO2),1980,0
311,"Gambia, The",Petroleum and other liquids (MMtonnes CO2),1980,0.1523
312,Georgia,CO2 emissions (MMtonnes CO2),1980,--
313,Georgia,Coal and coke (MMtonnes CO2),1980,--
314,Georgia,Consumed natural gas (MMtonnes CO2),1980,--
315,Georgia,Petroleum and other liquids (MMtonnes CO2),1980,--
316,Germany,CO2 emissions (MMtonnes CO2),1980,--
317,Germany,Coal and coke (MMtonnes CO2),1980,--
318,Germany,Consumed natural gas (MMtonnes CO2),1980,--
319,Germany,Petroleum and other liquids (MMtonnes CO2),1980,--
320,"Germany, East",CO2 emissions (MMtonnes CO2),1980,521.4169534
321,"Germany, East",Coal and coke (MMtonnes CO2),1980,457.2702117
322,"Germany, East",Consumed natural gas (MMtonnes CO2),1980,10.2012053
323,"Germany, East",Petroleum and other liquids (MMtonnes CO2),1980,53.9455364
324,"Germany, West",CO2 emissions (MMtonnes CO2),1980,735.6348212
325,"Germany, West",Coal and coke (MMtonnes CO2),1980,296.7439507
326,"Germany, West",Consumed natural gas (MMtonnes CO2),1980,100.259273
327,"Germany, West",Petroleum and other liquids (MMtonnes CO2),1980,338.6315975
328,Ghana,CO2 emissions (MMtonnes CO2),1980,2.22666
329,Ghana,Coal and coke (MMtonnes CO2),1980,0
330,Ghana,Consumed natural gas (MMtonnes CO2),1980,0
331,Ghana,Petroleum and other liquids (MMtonnes CO2),1980,2.22666
332,Gibraltar,CO2 emissions (MMtonnes CO2),1980,0.48881
333,Gibraltar,Coal and coke (MMtonnes CO2),1980,0
334,Gibraltar,Consumed natural gas (MMtonnes CO2),1980,0
335,Gibraltar,Petroleum and other liquids (MMtonnes CO2),1980,0.48881
336,Greece,CO2 emissions (MMtonnes CO2),1980,50.85399833
337,Greece,Coal and coke (MMtonnes CO2),1980,12.68657912
338,Greece,Consumed natural gas (MMtonnes CO2),1980,0
339,Greece,Petroleum and other liquids (MMtonnes CO2),1980,38.16741921
340,Greenland,CO2 emissions (MMtonnes CO2),1980,0
341,Greenland,Coal and coke (MMtonnes CO2),1980,0
342,Greenland,Consumed natural gas (MMtonnes CO2),1980,0
343,Greenland,Petroleum and other liquids (MMtonnes CO2),1980,
344,Grenada,CO2 emissions (MMtonnes CO2),1980,0.04574
345,Grenada,Coal and coke (MMtonnes CO2),1980,0
346,Grenada,Consumed natural gas (MMtonnes CO2),1980,0
347,Grenada,Petroleum and other liquids (MMtonnes CO2),1980,0.04574
348,Guadeloupe,CO2 emissions (MMtonnes CO2),1980,0.48529
349,Guadeloupe,Coal and coke (MMtonnes CO2),1980,0
350,Guadeloupe,Consumed natural gas (MMtonnes CO2),1980,0
351,Guadeloupe,Petroleum and other liquids (MMtonnes CO2),1980,0.48529
352,Guam,CO2 emissions (MMtonnes CO2),1980,3.510529879
353,Guam,Coal and coke (MMtonnes CO2),1980,0
354,Guam,Consumed natural gas (MMtonnes CO2),1980,0
355,Guam,Petroleum and other liquids (MMtonnes CO2),1980,3.510529879
356,Guatemala,CO2 emissions (MMtonnes CO2),1980,4.09952
357,Guatemala,Coal and coke (MMtonnes CO2),1980,0
358,Guatemala,Consumed natural gas (MMtonnes CO2),1980,0
359,Guatemala,Petroleum and other liquids (MMtonnes CO2),1980,4.09952
360,Guinea,CO2 emissions (MMtonnes CO2),1980,0.81493
361,Guinea,Coal and coke (MMtonnes CO2),1980,0
362,Guinea,Consumed natural gas (MMtonnes CO2),1980,0
363,Guinea,Petroleum and other liquids (MMtonnes CO2),1980,0.81493
364,Guinea-Bissau,CO2 emissions (MMtonnes CO2),1980,0.08321
365,Guinea-Bissau,Coal and coke (MMtonnes CO2),1980,0
366,Guinea-Bissau,Consumed natural gas (MMtonnes CO2),1980,0
367,Guinea-Bissau,Petroleum and other liquids (MMtonnes CO2),1980,0.08321
368,Guyana,CO2 emissions (MMtonnes CO2),1980,1.42148
369,Guyana,Coal and coke (MMtonnes CO2),1980,0
370,Guyana,Consumed natural gas (MMtonnes CO2),1980,0
371,Guyana,Petroleum and other liquids (MMtonnes CO2),1980,1.42148
372,Haiti,CO2 emissions (MMtonnes CO2),1980,0.956808821
373,Haiti,Coal and coke (MMtonnes CO2),1980,0.107118821
374,Haiti,Consumed natural gas (MMtonnes CO2),1980,0
375,Haiti,Petroleum and other liquids (MMtonnes CO2),1980,0.84969
376,Hawaiian Trade Zone,CO2 emissions (MMtonnes CO2),1980,6.117809685
377,Hawaiian Trade Zone,Coal and coke (MMtonnes CO2),1980,0
378,Hawaiian Trade Zone,Consumed natural gas (MMtonnes CO2),1980,0
379,Hawaiian Trade Zone,Petroleum and other liquids (MMtonnes CO2),1980,6.117809685
380,Honduras,CO2 emissions (MMtonnes CO2),1980,1.69779
381,Honduras,Coal and coke (MMtonnes CO2),1980,0
382,Honduras,Consumed natural gas (MMtonnes CO2),1980,0
383,Honduras,Petroleum and other liquids (MMtonnes CO2),1980,1.69779
384,Hong Kong,CO2 emissions (MMtonnes CO2),1980,18.12410536
385,Hong Kong,Coal and coke (MMtonnes CO2),1980,0.025015359
386,Hong Kong,Consumed natural gas (MMtonnes CO2),1980,0
387,Hong Kong,Petroleum and other liquids (MMtonnes CO2),1980,18.09909
388,Hungary,CO2 emissions (MMtonnes CO2),1980,75.0636306
389,Hungary,Coal and coke (MMtonnes CO2),1980,26.82655178
390,Hungary,Consumed natural gas (MMtonnes CO2),1980,18.6165232
391,Hungary,Petroleum and other liquids (MMtonnes CO2),1980,29.62055562
392,Iceland,CO2 emissions (MMtonnes CO2),1980,1.796433231
393,Iceland,Coal and coke (MMtonnes CO2),1980,0.083289044
394,Iceland,Consumed natural gas (MMtonnes CO2),1980,0
395,Iceland,Petroleum and other liquids (MMtonnes CO2),1980,1.713144186
396,India,CO2 emissions (MMtonnes CO2),1980,269.9538007
397,India,Coal and coke (MMtonnes CO2),1980,175.1774613
398,India,Consumed natural gas (MMtonnes CO2),1980,3.11447939
399,India,Petroleum and other liquids (MMtonnes CO2),1980,91.66186
400,Indonesia,CO2 emissions (MMtonnes CO2),1980,72.18311018
401,Indonesia,Coal and coke (MMtonnes CO2),1980,0.586951517
402,Indonesia,Consumed natural gas (MMtonnes CO2),1980,14.47385867
403,Indonesia,Petroleum and other liquids (MMtonnes CO2),1980,57.1223
404,Iran,CO2 emissions (MMtonnes CO2),1980,101.6756752
405,Iran,Coal and coke (MMtonnes CO2),1980,4.661146287
406,Iran,Consumed natural gas (MMtonnes CO2),1980,12.99845888
